101;16;Бордовая поясная сумка;1000;;PROGRES;20091-11 ;Сумка изготовлена из нейлона и кожи. Размеры - 20x13x5. Объем - 1,3.;Япония
102;17;Красная дорожная сумка;1200;;PROGRES;01231080-10 ;Сумка имеет размеры 16x23x8;Япония
103;17;Красная дорожная сумка;1200;;PROGRES;01231081-10 ;Сумка имеет размеры 20x25x8;Япония
104;17;Красная дорожная сумка (на пояс);1200;;PROGRES;01231083-10 ;Сумка имеет размеры 26x16x7;Япония
105;17;Бежевая дорожная сумка;2700;;PROGRES;01231087-05 ;Сумка изготовлена из нейлона. Размеры - 45x33x20. Объем - 29,5.;Япония
106;17;Черная дорожная сумка ;5000;;PROGRES;01231088-01 ;Сумка изготовлена из нейлона. Размеры 48x33x25. Объем - 39,5.;Япония
107;17;Бежевая дорожная сумка;5000;;PROGRES;01231088-05 ;Сумка изготовлена из нейлона. Размеры 48x33x25. Объем - 39,5.;Япония
108;17;Сумка повседневная складная цвета хаки;2000;;PROGRES;02024-04 ;Сумка изготовлена из нейлона. Размеры - 29x30x14. Объем - 12,2.;Япония
109;17;Оранжевая повседневная складная сумка;2000;;PROGRES;02024-14 ;Сумка изготовлена из нейлона. Размеры - 29x30x14. Объем - 12,2.;Япония
110;17;Повседневная складная сумка цвета хаки;1800;;PROGRES;02025-04 ;Сумка изготовлена из нейлона. Размеры - 27x34x12. Объем - 11.;Япония
111;17;Оранжевая повседневная складная сумка;1800;;PROGRES;02025-14 ;Сумка изготовлена из нейлона. Размеры - 27x34x12. Объем - 11.;Япония
112;17;Черная дорожная сумка ;2100;;PROGRES;20022-01 ;Сумка имеет одно основное отделение и четыре кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 31x21x11. Объем - 7,2.;Япония
113;17;Бежевая дорожная сумка;2100;;PROGRES;20022-05 ;Сумка имеет одно основное отделение и четыре кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 31x21x11. Объем - 7,2.;Япония
114;17;Красная дорожная сумка;2100;;PROGRES;20022-10 ;Сумка имеет одно основное отделение и четыре кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 31x21x11. Объем - 7,2.;Япония
115;17;Бежевая дорожная сумка;2400;;PROGRES;20024-05 ;Сумка имеет одно основное отделение и три кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 38x26x15. Объем - 15.;Япония
116;17;Красная дорожная сумка;2400;;PROGRES;20024-10 ;Сумка имеет одно основное отделение и три кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 38x26x15. Объем - 15.;Япония
117;17;Бежевая дорожная сумка;2600;;PROGRES;20025-05 ;Сумка имеет одно основное отделение и четыре кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 43x29x18. Объем - 22,5.;Япония
118;17;Красная дорожная сумка;2600;;PROGRES;20025-10 ;Сумка имеет одно основное отделение и четыре кармана на молнии, плечевой ремень. Изготовлена из нейлона и полиэстера. Размеры - 43x29x18. Объем - 22,5.;Япония
119;17;Бежевая дорожная сумка;3000;;PROGRES;20045-09 ;Сумка имеет одно основное отделение и два кармана на молнии и два сбоку, косметичку, плечевой ремень. Изготовлена из нейлона. Размеры - 43x28x18. Объем - 22.;Япония
120;17;Бордовая повседневная сумка;1200;;PROGRES;20092-11 ;Сумка изготовлена из нейлона и кожи. Размеры - 26x17x8. Объем - 3,5.;Япония
